Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1981 (54th),On Golden Pond,Bruce Gilbert,False,on-golden-pond-1981
1981 (54th),Raiders of the Lost Ark,Frank Marshall,False,raiders-of-the-lost-ark-1981
1981 (54th),Reds,Warren Beatty,False,reds-1981
1982 (55th),Gandhi,Richard Attenborough,True,gandhi-1982
1982 (55th),E.T. the Extra-Terrestrial,Steven Spielberg and Kathleen Kennedy,False,et-the-extra-terrestrial-1982
1982 (55th),Missing,Edward Lewis and Mildred Lewis,False,missing-1982
1982 (55th),Tootsie,Sydney Pollack and Dick Richards,False,tootsie-1982
1982 (55th),The Verdict,Richard D. Zanuck and David Brown,False,the-verdict-1982
1983 (56th),Terms of Endearment,James L. Brooks,True,terms-of-endearment-1983
1983 (56th),The Big Chill,Michael Shamberg,False,the-big-chill-1983
1983 (56th),The Dresser,Peter Yates,False,the-dresser-1983
1983 (56th),The Right Stuff,Irwin Winkler and Robert Chartoff,False,the-right-stuff-1983
1983 (56th),Tender Mercies,Philip S. Hobel,False,tender-mercies-1983
1984 (57th),Amadeus,Saul Zaentz,True,amadeus-1984
1984 (57th),The Killing Fields,David Puttnam,False,the-killing-fields-1984
1984 (57th),A Passage to India,John Brabourne and Richard Goodwin,False,a-passage-to-india-1984
1984 (57th),Places in the Heart,Arlene Donovan,False,places-in-the-heart-1984
1984 (57th),A Soldier's Story,"Norman Jewison, Ronald L. Schwary, and Patrick J. Palmer",False,a-soldiers-story-1984
1985 (58th),Out of Africa,Sydney Pollack,True,out-of-africa-1985
1985 (58th),The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",False,the-color-purple-1985
1985 (58th),Kiss of the Spider Woman,David Weisman,False,kiss-of-the-spider-woman-1985
1985 (58th),Prizzi's Honor,John Foreman,False,prizzis-honor-1985
1985 (58th),Witness,Edward S. Feldman,False,witness-1985
1986 (59th),Platoon,Arnold Kopelson,True,platoon-1986
1986 (59th),Children of a Lesser God,Burt Sugarman and Patrick J. Palmer,False,children-of-a-lesser-god-1986
1986 (59th),Hannah and Her Sisters,Robert Greenhut,False,hannah-and-her-sisters-1986
1986 (59th),The Mission,Fernando Ghia and David Puttnam,False,the-mission-1986
1986 (59th),A Room with a View,Ismail Merchant,False,a-room-with-a-view-1986
1987 (60th),The Last Emperor,Jeremy Thomas,True,the-last-emperor-1987
1987 (60th),Broadcast News,James L. Brooks,False,broadcast-news-1987
1987 (60th),Fatal Attraction,Stanley R. Jaffe and Sherry Lansing,False,fatal-attraction-1987
1987 (60th),Hope and Glory,John Boorman,False,hope-and-glory-1987
1987 (60th),Moonstruck,Patrick J. Palmer and Norman Jewison,False,moonstruck-1987
1988 (61st),Rain Man,Mark Johnson,True,rain-man-1988
1988 (61st),The Accidental Tourist,"Lawrence Kasdan, Charles Okun, and Michael Grillo",False,the-accidental-tourist-1988
1988 (61st),Dangerous Liaisons,Norma Heyman and Hank Moonjean,False,dangerous-liaisons-1988
1988 (61st),Mississippi Burning,Frederick Zollo and Robert F. Colesberry,False,mississippi-burning-1988
1988 (61st),Working Girl,Douglas Wick,False,working-girl-1988
1989 (62nd),Driving Miss Daisy,Richard D. Zanuck and Lili Fini Zanuck,True,driving-miss-daisy-1989
1989 (62nd),Born on the Fourth of July,A. Kitman Ho and Oliver Stone,False,born-on-the-fourth-of-july-1989
1989 (62nd),Dead Poets Society,"Steven Haft, Paul Junger Witt, and Tony Thomas",False,dead-poets-society-1989
1989 (62nd),Field of Dreams,Lawrence Gordon and Charles Gordon,False,field-of-dreams-1989
1989 (62nd),My Left Foot,Noel Pearson,False,my-left-foot-1989
1990 (63rd),Dances With Wolves,Jim Wilson and Kevin Costner,True,dances-with-wolves-1990
1990 (63rd),Awakenings,Walter F. Parkes and Lawrence Lasker,False,awakenings-1990
1990 (63rd),Ghost,Lisa Weinstein,False,ghost-1990
1990 (63rd),The Godfather Part III,Francis Ford Coppola,False,the-godfather-part-iii-1990
1990 (63rd),Goodfellas,Irwin Winkler,False,goodfellas-1990
1991 (64th),The Silence of the Lambs,"Edward Saxon, Kenneth Utt, and Ron Bozman",True,the-silence-of-the-lambs-1991
1991 (64th),Beauty and the Beast,Don Hahn,False,beauty-and-the-beast-1991
1991 (64th),Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty",False,bugsy-1991
1991 (64th),JFK,A. Kitman Ho and Oliver Stone,False,jfk-1991
1991 (64th),The Prince of Tides,Barbra Streisand and Andrew Karsch,False,the-prince-of-tides-1991
1992 (65th),Unforgiven,Clint Eastwood,True,unforgiven-1992
1992 (65th),The Crying Game,Stephen Woolley,False,the-crying-game-1992
1992 (65th),A Few Good Men,"David Brown, Rob Reiner, and Andrew Scheinman",False,a-few-good-men-1992
1992 (65th),Howards End,Ismail Merchant,False,howards-end-1992
1992 (65th),Scent of a Woman,Martin Brest,False,scent-of-a-woman-1992
1993 (66th),Schindler's List,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",True,schindlers-list-1993
1993 (66th),The Fugitive,Arnold Kopelson,False,the-fugitive-1993
1993 (66th),In the Name of the Father,Jim Sheridan,False,in-the-name-of-the-father-1993
1993 (66th),The Piano,Jan Chapman,False,the-piano-1993
1993 (66th),The Remains of the Day,"Mike Nichols, John Calley, and Ismail Merchant",False,the-remains-of-the-day-1993
1994 (67th),Forrest Gump,"Wendy Finerman, Steve Tisch, and Steve Starkey",True,forrest-gump-1994
1994 (67th),Four Weddings and a Funeral,Duncan Kenworthy,False,four-weddings-and-a-funeral-1994
1994 (67th),Pulp Fiction,Lawrence Bender,False,pulp-fiction-1994
1994 (67th),Quiz Show,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",False,quiz-show-1994
1994 (67th),The Shawshank Redemption,Niki Marvin,False,the-shawshank-redemption-1994
1995 (68th),Braveheart,"Mel Gibson, Alan Ladd Jr., and Bruce Davey",True,braveheart-1995
1995 (68th),Apollo 13,Brian Grazer,False,apollo-13-1995
1995 (68th),Babe,"Bill Miller, George Miller, and Doug Mitchell",False,babe-1995
1995 (68th),Il Postino: The Postman,"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",False,il-postino-the-postman-1995
1995 (68th),Sense and Sensibility,Lindsay Doran,False,sense-and-sensibility-1995
1996 (69th),The English Patient,Saul Zaentz,True,the-english-patient-1996
1996 (69th),Fargo,Ethan Coen,False,fargo-1996
1996 (69th),Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",False,jerry-maguire-1996
1996 (69th),Secrets & Lies,Simon Channing Williams,False,secrets-lies-1996
1996 (69th),Shine,Jane Scott,False,shine-1996
1997 (70th),Titanic,James Cameron and Jon Landau,True,titanic-1997
1997 (70th),As Good as It Gets,"James L. Brooks, Bridget Johnson, and Kristi Zea",False,as-good-as-it-gets-1997
1997 (70th),The Full Monty,Uberto Pasolini,False,the-full-monty-1997
1997 (70th),Good Will Hunting,Lawrence Bender,False,good-will-hunting-1997
1997 (70th),L.A. Confidential,"Curtis Hanson, Arnon Milchan, and Michael Nathanson",False,la-confidential-1997
1998 (71st),Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",True,shakespeare-in-love-1998
1998 (71st),Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan",False,elizabeth-1998
1998 (71st),Life Is Beautiful,Elda Ferri and Gianluigi Braschi,False,life-is-beautiful-1998
1998 (71st),Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",False,saving-private-ryan-1998
1998 (71st),The Thin Red Line,"Robert Michael Geisler, John Roberdeau, and Grant Hill",False,the-thin-red-line-1998
1999 (72nd),American Beauty,Bruce Cohen and Dan Jinks,True,american-beauty-1999
1999 (72nd),The Cider House Rules,Richard N. Gladstein,False,the-cider-house-rules-1999
1999 (72nd),The Green Mile,Frank Darabont and David Valdes,False,the-green-mile-1999
1999 (72nd),The Insider,Pieter Jan Brugge and Michael Mann,False,the-insider-1999
1999 (72nd),The Sixth Sense,"Frank Marshall, Kathleen Kennedy, and Barry Mendel",False,the-sixth-sense-1999
2000 (73rd),Gladiator,"Douglas Wick, David Franzoni, and Branko Lustig",True,gladiator-2000
2000 (73rd),Chocolat,"David Brown, Kit Golden, and Leslie Holleran",False,chocolat-2000
2000 (73rd),"Crouching Tiger, Hidden Dragon","William Kong, Hsu Li-kong, and Ang Lee",False,crouching-tiger-hidden-dragon-2000
2000 (73rd),Erin Brockovich,"Danny DeVito, Michael Shamberg, and Stacey Sher",False,erin-brockovich-2000
2000 (73rd),Traffic,"Edward Zwick, Marshall Herskovitz, and Laura Bickford",False,traffic-2000
2001 (74th),A Beautiful Mind,Brian Grazer and Ron Howard,True,a-beautiful-mind-2001
2001 (74th),Gosford Park,"Robert Altman, Bob Balaban, and David Levy",False,gosford-park-2001
2001 (74th),In the Bedroom,"Graham Leader, Ross Katz, and Todd Field",False,in-the-bedroom-2001
2001 (74th),The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh, and Barrie M. Osborne",False,the-lord-of-the-rings-the-fellowship-of-the-ring-2001
2001 (74th),Moulin Rouge!,"Martin Brown, Baz Luhrmann, and Fred Baron",False,moulin-rouge-2001
2002 (75th),Chicago,Martin Richards,True,chicago-2002
2002 (75th),Gangs of New York,Alberto Grimaldi and Harvey Weinstein,False,gangs-of-new-york-2002
2002 (75th),The Hours,Scott Rudin and Robert Fox,False,the-hours-2002
2002 (75th),The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh, and Peter Jackson",False,the-lord-of-the-rings-the-two-towers-2002
2002 (75th),The Pianist,"Roman Polanski, Robert Benmussa, and Alain Sarde",False,the-pianist-2002
2003 (76th),The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",True,the-lord-of-the-rings-the-return-of-the-king-2003
2003 (76th),Lost in Translation,Ross Katz and Sofia Coppola,False,lost-in-translation-2003
2003 (76th),Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson",False,master-and-commander-the-far-side-of-the-world-2003
2003 (76th),Mystic River,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",False,mystic-river-2003
2003 (76th),Seabiscuit,"Kathleen Kennedy, Frank Marshall, and Gary Ross",False,seabiscuit-2003
2004 (77th),Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",True,million-dollar-baby-2004
2004 (77th),The Aviator,Michael Mann and Graham King,False,the-aviator-2004
2004 (77th),Finding Neverland,Richard N. Gladstein and Nellie Bellflower,False,finding-neverland-2004
2004 (77th),Ray,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin",False,ray-2004
2004 (77th),Sideways,Michael London,False,sideways-2004
2005 (78th),Crash,Paul Haggis and Cathy Schulman,True,crash-2005
2005 (78th),Brokeback Mountain,Diana Ossana and James Schamus,False,brokeback-mountain-2005
2005 (78th),Capote,"Caroline Baron, William Vince, and Michael Ohoven",False,capote-2005
2005 (78th),"Good Night, and Good Luck",Grant Heslov,False,good-night-and-good-luck-2005
2005 (78th),Munich,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel",False,munich-2005
2006 (79th),The Departed,Graham King,True,the-departed-2006
2006 (79th),Babel,"Alejandro González Iñárritu, Steve Golin, and Jon Kilik",False,babel-2006
2006 (79th),Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg, and Robert Lorenz",False,letters-from-iwo-jima-2006
2006 (79th),Little Miss Sunshine,"David T. Friendly, Peter Saraf, and Marc Turtletaub",False,little-miss-sunshine-2006
2006 (79th),The Queen,"Andy Harries, Christine Langan, and Tracey Seaward",False,the-queen-2006
2007 (80th),No Country for Old Men,"Scott Rudin, Joel Coen, and Ethan Coen",True,no-country-for-old-men-2007
2007 (80th),Atonement,"Tim Bevan, Eric Fellner, and Paul Webster",False,atonement-2007
2007 (80th),Juno,"Lianne Halfon, Mason Novick, and Russell Smith",False,juno-2007
2007 (80th),Michael Clayton,"Jennifer Fox, Kerry Orent, and Sydney Pollack",False,michael-clayton-2007
2007 (80th),There Will Be Blood,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar",False,there-will-be-blood-2007
2008 (81st),Slumdog Millionaire,Christian Colson,True,slumdog-millionaire-2008
2008 (81st),The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin",False,the-curious-case-of-benjamin-button-2008
2008 (81st),Frost/Nixon,"Ron Howard, Brian Grazer, and Eric Fellner",False,frost-nixon-2008
2008 (81st),Milk,Bruce Cohen and Dan Jinks,False,milk-2008
2008 (81st),The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris",False,the-reader-2008
2009 (82nd),The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",True,the-hurt-locker-2009
2009 (82nd),Avatar,James Cameron and Jon Landau,False,avatar-2009
2009 (82nd),The Blind Side,"Gil Netter, Andrew Kosove, and Broderick Johnson",False,the-blind-side-2009
2009 (82nd),District 9,Peter Jackson and Carolynne Cunningham,False,district-9-2009
2009 (82nd),An Education,Finola Dwyer and Amanda Posey,False,an-education-2009
2009 (82nd),Inglourious Basterds,Lawrence Bender,False,inglourious-basterds-2009
2009 (82nd),"Precious: Based on the Novel ""Push"" by Sapphire","Lee Daniels, Sarah Siegel-Magness, and Gary Magness",False,precious-based-on-the-novel-push-by-sapphire-2009
2009 (82nd),A Serious Man,Joel Coen and Ethan Coen,False,a-serious-man-2009
2009 (82nd),Up,Jonas Rivera,False,up-2009
2009 (82nd),Up in the Air,"Daniel Dubiecki, Ivan Reitman, and Jason Reitman",False,up-in-the-air-2009
2010 (83rd),The King's Speech,"Iain Canning, Emile Sherman, and Gareth Unwin",True,the-kings-speech-2010
2010 (83rd),Black Swan,"Scott Franklin, Mike Medavoy, and Brian Oliver",False,black-swan-2010
2010 (83rd),The Fighter,"David Hoberman, Todd Lieberman, and Mark Wahlberg",False,the-fighter-2010
2010 (83rd),Inception,Christopher Nolan and Emma Thomas,False,inception-2010
2010 (83rd),The Kids Are All Right,"Gary Gilbert, Jeff Levy-Hinte, and Celine Rattray",False,the-kids-are-all-right-2010
2010 (83rd),127 Hours,"Danny Boyle, John Smithson, and Christian Colson",False,127-hours-2010
2010 (83rd),The Social Network,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",False,the-social-network-2010
2010 (83rd),Toy Story 3,Darla K. Anderson,False,toy-story-3-2010
2010 (83rd),True Grit,"Joel Coen, Ethan Coen, and Scott Rudin",False,true-grit-2010
2010 (83rd),Winter's Bone,Alix Madigan and Anne Rosellini,False,winters-bone-2010
2011 (84th),The Artist,Thomas Langmann,True,the-artist-2011
2011 (84th),The Descendants,"Jim Burke, Alexander Payne, and Jim Taylor",False,the-descendants-2011
2011 (84th),Extremely Loud & Incredibly Close,Scott Rudin,False,extremely-loud-incredibly-close-2011
2011 (84th),The Help,"Brunson Green, Chris Columbus, and Michael Barnathan",False,the-help-2011
2011 (84th),Hugo,Graham King and Martin Scorsese,False,hugo-2011
2011 (84th),Midnight in Paris,Letty Aronson and Stephen Tenenbaum,False,midnight-in-paris-2011
2011 (84th),Moneyball,"Michael De Luca, Rachael Horovitz, and Brad Pitt",False,moneyball-2011
2011 (84th),The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill",False,the-tree-of-life-2011
2011 (84th),War Horse,Steven Spielberg and Kathleen Kennedy,False,war-horse-2011
2012 (85th),Argo,"Grant Heslov, Ben Affleck, and George Clooney",True,argo-2012
2012 (85th),Amour,"Margaret Ménégoz, Stefan Arndt, Veit Heiduschka, and Michael Katz",False,amour-2012
2012 (85th),Beasts of the Southern Wild,"Dan Janvey, Josh Penn, and Michael Gottwald",False,beasts-of-the-southern-wild-2012
2012 (85th),Django Unchained,"Stacey Sher, Reginald Hudlin, and Pilar Savone",False,django-unchained-2012
2012 (85th),Life of Pi,"Gil Netter, Ang Lee, and David Womark",False,life-of-pi-2012
2012 (85th),Lincoln,Steven Spielberg and Kathleen Kennedy,False,lincoln-2012
2012 (85th),Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",False,les-miserables-2012
2012 (85th),Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",False,silver-linings-playbook-2012
2012 (85th),Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, and Megan Ellison",False,zero-dark-thirty-2012
2013 (86th),12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",True,12-years-a-slave-2013
2013 (86th),American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",False,american-hustle-2013
2013 (86th),Captain Phillips,"Scott Rudin, Dana Brunetti, and Michael De Luca",False,captain-phillips-2013
2013 (86th),Dallas Buyers Club,Robbie Brenner and Rachel Winter,False,dallas-buyers-club-2013
2013 (86th),Gravity,Alfonso Cuarón and David Heyman,False,gravity-2013
2013 (86th),Her,"Megan Ellison, Spike Jonze, and Vincent Landay",False,her-2013
2013 (86th),Nebraska,Albert Berger and Ron Yerxa,False,nebraska-2013
2013 (86th),Philomena,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",False,philomena-2013
2013 (86th),The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",False,the-wolf-of-wall-street-2013
2014 (87th),Birdman or (The Unexpected Virtue of Ignorance),"Alejandro González Iñárritu, John Lesher, and James W. Skotchdopole",True,birdman-or-the-unexpected-virtue-of-ignorance-2014
2014 (87th),American Sniper,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan",False,american-sniper-2014
2014 (87th),Boyhood,Richard Linklater and Cathleen Sutherland,False,boyhood-2014
2014 (87th),The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson",False,the-grand-budapest-hotel-2014
2014 (87th),The Imitation Game,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",False,the-imitation-game-2014
2014 (87th),Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",False,selma-2014
2014 (87th),The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",False,the-theory-of-everything-2014
2014 (87th),Whiplash,"Jason Blum, Helen Estabrook, and David Lancaster",False,whiplash-2014
2015 (88th),Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",True,spotlight-2015
2015 (88th),The Big Short,"Dede Gardner, Jeremy Kleiner, and Brad Pitt",False,the-big-short-2015
2015 (88th),Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",False,bridge-of-spies-2015
2015 (88th),Brooklyn,Finola Dwyer and Amanda Posey,False,brooklyn-2015
2015 (88th),Mad Max: Fury Road,Doug Mitchell and George Miller,False,mad-max-fury-road-2015
2015 (88th),The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",False,the-martian-2015
2015 (88th),The Revenant,"Arnon Milchan, Steve Golin, Alejandro González Iñárritu, Mary Parent, and Keith Redmon",False,the-revenant-2015
2015 (88th),Room,Ed Guiney,False,room-2015
2016 (89th),Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner",True,moonlight-2016
2016 (89th),Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",False,arrival-2016
2016 (89th),Fences,"Scott Rudin, Denzel Washington, and Todd Black",False,fences-2016
2016 (89th),Hacksaw Ridge,Bill Mechanic and David Permut,False,hacksaw-ridge-2016
2016 (89th),Hell or High Water,Carla Hacken and Julie Yorn,False,hell-or-high-water-2016
2016 (89th),Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",False,hidden-figures-2016
2016 (89th),La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt",False,la-la-land-2016
2016 (89th),Lion,"Emile Sherman, Iain Canning, and Angie Fielder",False,lion-2016
2016 (89th),Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",False,manchester-by-the-sea-2016
2017 (90th),The Shape of Water,Guillermo del Toro and J. Miles Dale,True,the-shape-of-water-2017
2017 (90th),Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",False,call-me-by-your-name-2017
2017 (90th),Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",False,darkest-hour-2017
2017 (90th),Dunkirk,Emma Thomas and Christopher Nolan,False,dunkirk-2017
2017 (90th),Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",False,get-out-2017
2017 (90th),Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill",False,lady-bird-2017
2017 (90th),Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",False,phantom-thread-2017
2017 (90th),The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",False,the-post-2017
2017 (90th),"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, and Martin McDonagh",False,three-billboards-outside-ebbing-missouri-2017
2018 (91st),Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",True,green-book-2018
2018 (91st),Black Panther,Kevin Feige,False,black-panther-2018
2018 (91st),BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",False,blackkklansman-2018
2018 (91st),Bohemian Rhapsody,Graham King,False,bohemian-rhapsody-2018
2018 (91st),The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",False,the-favourite-2018
2018 (91st),Roma,Gabriela Rodríguez and Alfonso Cuarón,False,roma-2018
2018 (91st),A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",False,a-star-is-born-2018
2018 (91st),Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",False,vice-2018
2019 (92nd),Parasite,Kwak Sin-ae and Bong Joon-ho,True,parasite-2019
2019 (92nd),Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold",False,ford-v-ferrari-2019
2019 (92nd),The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",False,the-irishman-2019
2019 (92nd),Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",False,jojo-rabbit-2019
2019 (92nd),Joker,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff",False,joker-2019
2019 (92nd),Little Women,Amy Pascal,False,little-women-2019
2019 (92nd),Marriage Story,Noah Baumbach and David Heyman,False,marriage-story-2019
2019 (92nd),1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",False,1917-2019
2019 (92nd),Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino",False,once-upon-a-time-in-hollywood-2019
2020 (93rd),Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao",True,nomadland-2020
2020 (93rd),The Father,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",False,the-father-2020
2020 (93rd),Judas and the Black Messiah,"Shaka King, Charles D. King, and Ryan Coogler",False,judas-and-the-black-messiah-2020
2020 (93rd),Mank,"Ceán Chaffin, Eric Roth, and Douglas Urbanski",False,mank-2020
2020 (93rd),Minari,Christina Oh,False,minari-2020
2020 (93rd),Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",False,promising-young-woman-2020
2020 (93rd),Sound of Metal,Bert Hamelinck and Sacha Ben Harroche,False,sound-of-metal-2020
2020 (93rd),The Trial of the Chicago 7,Marc Platt and Stuart M. Besser,False,the-trial-of-the-chicago-7-2020
2021 (94th),CODA,"Philippe Rousselet, Fabrice Gianfermi, and Patrick Wachsberger",True,coda-2021
2021 (94th),Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik, and Tamar Thomas",False,belfast-2021
2021 (94th),Don't Look Up,Adam McKay and Kevin Messick,False,dont-look-up-2021
2021 (94th),Drive My Car,Teruhisa Yamamoto,False,drive-my-car-2021
2021 (94th),Dune,"Mary Parent, Denis Villeneuve, and Cale Boyter",False,dune-2021
2021 (94th),King Richard,"Tim White, Trevor White, and Will Smith",False,king-richard-2021
2021 (94th),Licorice Pizza,"Sara Murphy, Adam Somner, and Paul Thomas Anderson",False,licorice-pizza-2021
2021 (94th),Nightmare Alley,"Guillermo del Toro, J. Miles Dale, and Bradley Cooper",False,nightmare-alley-2021
2021 (94th),The Power of the Dog,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning, and Roger Frappier",False,the-power-of-the-dog-2021
2021 (94th),West Side Story,Steven Spielberg and Kristie Macosko Krieger,False,west-side-story-2021
2022 (95th),Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert, and Jonathan Wang",True,everything-everywhere-all-at-once-2022
2022 (95th),All Quiet on the Western Front,Malte Grunert,False,all-quiet-on-the-western-front-2022
2022 (95th),Avatar: The Way of Water,James Cameron and Jon Landau,False,avatar-the-way-of-water-2022
2022 (95th),The Banshees of Inisherin,"Graham Broadbent, Peter Czernin, and Martin McDonagh",False,the-banshees-of-inisherin-2022
2022 (95th),Elvis,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick, and Schuyler Weiss",False,elvis-2022
2022 (95th),The Fabelmans,"Kristie Macosko Krieger, Steven Spielberg, and Tony Kushner",False,the-fabelmans-2022
2022 (95th),Tár,"Todd Field, Alexandra Milchan, and Scott Lambert",False,tar-2022
2022 (95th),Top Gun: Maverick,"Tom Cruise, Christopher McQuarrie, David Ellison, and Jerry Bruckheimer",False,top-gun-maverick-2022
2022 (95th),Triangle of Sadness,Erik Hemmendorff and Philippe Bober,False,triangle-of-sadness-2022
2022 (95th),Women Talking,"Dede Gardner, Jeremy Kleiner, and Frances McDormand",False,women-talking-2022
2023 (96th),Oppenheimer,"Emma Thomas, Charles Roven, and Christopher Nolan",True,oppenheimer-2023
2023 (96th),American Fiction,"Ben LeClair, Nikos Karamigios, Cord Jefferson, and Jermaine Johnson",False,american-fiction-2023
2023 (96th),Anatomy of a Fall,Marie-Ange Luciani and David Thion,False,anatomy-of-a-fall-2023
2023 (96th),Barbie,"David Heyman, Margot Robbie, Tom Ackerley, and Robbie Brenner",False,barbie-2023
2023 (96th),The Holdovers,Mark Johnson,False,the-holdovers-2023
2023 (96th),Killers of the Flower Moon,"Dan Friedkin, Bradley Thomas, Martin Scorsese, and Daniel Lupi",False,killers-of-the-flower-moon-2023
2023 (96th),Maestro,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning, and Kristie Macosko Krieger",False,maestro-2023
2023 (96th),Past Lives,"David Hinojosa, Christine Vachon, and Pamela Koffler",False,past-lives-2023
2023 (96th),Poor Things,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos, and Emma Stone",False,poor-things-2023
2023 (96th),The Zone of Interest,James Wilson,False,the-zone-of-interest-2023
2024 (97th),Anora,"Alex Coco, Samantha Quan, and Sean Baker",True,anora-2024
2024 (97th),The Brutalist,"Nick Gordon, Brian Young, Andrew Morrison, D.J. Gugenheim, and Brady Corbet",False,the-brutalist-2024
2024 (97th),A Complete Unknown,"Fred Berger, James Mangold, and Alex Heineman",False,a-complete-unknown-2024
2024 (97th),Conclave,"Tessa Ross, Juliette Howell, and Michael A. Jackman",False,conclave-2024
