Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1937 (10th),Dead End,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,dead-end-1937
1937 (10th),The Good Earth,Metro-Goldwyn-Mayer,False,the-good-earth-1937
1937 (10th),In Old Chicago,20th Century-Fox,False,in-old-chicago-1937
1937 (10th),Lost Horizon,Columbia,False,lost-horizon-1937
1937 (10th),One Hundred Men and a Girl,Universal,False,one-hundred-men-and-a-girl-1937
1937 (10th),Stage Door,RKO Radio,False,stage-door-1937
1937 (10th),A Star Is Born,Selznick International Pictures,False,a-star-is-born-1937
1938 (11th),You Can't Take It with You,"Columbia (Frank Capra, producer)",True,you-cant-take-it-with-you-1938
1938 (11th),The Adventures of Robin Hood,Warner Bros.-First National,False,the-adventures-of-robin-hood-1938
1938 (11th),Alexander's Ragtime Band,20th Century-Fox,False,alexanders-ragtime-band-1938
1938 (11th),Boys Town,Metro-Goldwyn-Mayer,False,boys-town-1938
1938 (11th),The Citadel,Metro-Goldwyn-Mayer,False,the-citadel-1938
1938 (11th),Four Daughters,Warner Bros.-First National,False,four-daughters-1938
1938 (11th),Grand Illusion,Réalisation d'art Cinématographique,False,grand-illusion-1938
1938 (11th),Jezebel,Warner Bros.,False,jezebel-1938
1938 (11th),Pygmalion,Metro-Goldwyn-Mayer,False,pygmalion-1938
1938 (11th),Test Pilot,Metro-Goldwyn-Mayer,False,test-pilot-1938
1939 (12th),Gone with the Wind,"Selznick International Pictures (David O. Selznick, producer)",True,gone-with-the-wind-1939
1939 (12th),Dark Victory,Warner Bros.-First National,False,dark-victory-1939
1939 (12th),"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,False,goodbye-mr-chips-1939
1939 (12th),Love Affair,RKO Radio,False,love-affair-1939
1939 (12th),Mr. Smith Goes to Washington,Columbia,False,mr-smith-goes-to-washington-1939
1939 (12th),Ninotchka,Metro-Goldwyn-Mayer,False,ninotchka-1939
1939 (12th),Of Mice and Men,Hal Roach (production company),False,of-mice-and-men-1939
1939 (12th),Stagecoach,Walter Wanger (production company),False,stagecoach-1939
