year,Film,url_tried,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,longitud,imdb_url,url_used,found,error
1934.0,Here Comes the Navy,https://letterboxd.com/film/here-comes-the-navy-1934,6.2,"['Comedy', 'Drama', 'Romance', 'War']","[""James CagneyPat O'BrienGloria Stuart""]",31,15.0,,44,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025238/,https://letterboxd.com/film/here-comes-the-navy,True,
1934.0,The House of Rothschild,https://letterboxd.com/film/the-house-of-rothschild-1934,6.4,"['Biography', 'Drama', 'History', 'War']",['George ArlissBoris KarloffLoretta Young'],37,18.0,,75,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025272/,https://letterboxd.com/film/the-house-of-rothschild,True,
1934.0,Imitation of Life,https://letterboxd.com/film/imitation-of-life-1934,7.5,"['Comedy', 'Drama', 'Romance']",['Claudette ColbertWarren WilliamRochelle Hudson'],117,38.0,72.0,70,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025301/,https://letterboxd.com/film/imitation-of-life,True,
1934.0,One Night of Love,https://letterboxd.com/film/one-night-of-love-1934,5.6,"['Comedy', 'Music', 'Romance']",['Grace MooreTullio CarminatiLyle Talbot'],16,11.0,,91,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025601/,https://letterboxd.com/film/one-night-of-love,True,
1934.0,The Thin Man,https://letterboxd.com/film/the-thin-man-1934,7.9,"['Cozy Mystery', 'Romantic Comedy', 'Screwball Comedy', 'Whodunnit', 'Comedy', 'Crime', 'Mystery', 'Romance']","[""William PowellMyrna LoyMaureen O'Sullivan""]",189,94.0,86.0,69,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025878/,https://letterboxd.com/film/the-thin-man,True,
1934.0,Viva Villa!,https://letterboxd.com/film/viva-villa-1934,6.3,"['Biography', 'Drama', 'Western']",['Wallace BeeryFay WrayLeo Carrillo'],32,23.0,,58,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025948/,https://letterboxd.com/film/viva-villa,True,
1934.0,The White Parade,https://letterboxd.com/film/the-white-parade-1934,6.5,['Drama'],['Loretta YoungJohn BolesDorothy Wilson'],4,5.0,,35,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0025986/,https://letterboxd.com/film/the-white-parade,True,
1962.0,Mutiny on the Bounty,https://letterboxd.com/film/mutiny-on-the-bounty-1962,7.2,"['Adventure Epic', 'Globetrotting Adventure', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Quest', 'Sea Adventure', 'Steamy Romance', 'Adventure', 'Drama']",['Marlon BrandoTrevor HowardRichard Harris'],127,28.0,48.0,45,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0056264/,https://letterboxd.com/film/mutiny-on-the-bounty-1962,True,
1935.0,Alice Adams,https://letterboxd.com/film/alice-adams-1935,6.8,"['Comedy', 'Drama', 'Romance']",['Katharine HepburnFred MacMurrayFred Stone'],73,25.0,,29,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026056/,https://letterboxd.com/film/alice-adams,True,
1935.0,Broadway Melody of 1936,https://letterboxd.com/film/broadway-melody-of-1936-1935,6.7,"['Comedy', 'Musical', 'Romance']",['Jack BennyEleanor PowellRobert Taylor'],38,17.0,,64,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026144/,https://letterboxd.com/film/broadway-melody-of-1936,True,
