year,classification_rating,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,budget,revenue,opening_weekend,longitud,imdb_url,Film,url_tried,url_used,found,error,film_key_from_url_tried,film_key_from_url_used,film_key_from_url,film_key_from_name,name_only,film_key
1942.0,,7.6,"['Period Drama', 'Tragic Romance', 'Drama', 'Romance']",['Joseph CottenDolores CostelloAnne Baxter'],164,98.0,93.0,48,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035015/,The Magnificent Ambersons,https://letterboxd.com/film/the-magnificent-ambersons-1942,https://letterboxd.com/film/the-magnificent-ambersons,True,,the-magnificent-ambersons-1942,the-magnificent-ambersons,the-magnificent-ambersons-1942,the-magnificent-ambersons-1942,the-magnificent-ambersons,the-magnificent-ambersons-1942
1942.0,,7.0,"['Drama', 'War']",['Monty WoolleyRoddy McDowallAnne Baxter'],15,7.0,,42,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035189/,The Pied Piper,https://letterboxd.com/film/the-pied-piper-1942,https://letterboxd.com/film/the-pied-piper-1942,True,,the-pied-piper-1942,the-pied-piper-1942,the-pied-piper-1942,the-pied-piper-1942,the-pied-piper,the-pied-piper-1942
1942.0,,7.6,"['Baseball', 'Biography', 'Drama', 'Romance', 'Sport']",['Gary CooperTeresa WrightBabe Ruth'],103,35.0,,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035211/,The Pride of the Yankees,https://letterboxd.com/film/the-pride-of-the-yankees-1942,https://letterboxd.com/film/the-pride-of-the-yankees,True,,the-pride-of-the-yankees-1942,the-pride-of-the-yankees,the-pride-of-the-yankees-1942,the-pride-of-the-yankees-1942,the-pride-of-the-yankees,the-pride-of-the-yankees-1942
1942.0,,7.9,"['Period Drama', 'Tragic Romance', 'Drama', 'Romance']",['Ronald ColmanGreer GarsonPhilip Dorn'],135,18.0,62.0,99,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035238/,Random Harvest,https://letterboxd.com/film/random-harvest-1942,https://letterboxd.com/film/random-harvest,True,,random-harvest-1942,random-harvest,random-harvest-1942,random-harvest-1942,random-harvest,random-harvest-1942
1942.0,,7.5,"['Screwball Comedy', 'Comedy', 'Drama', 'Romance', 'Thriller']",['Cary GrantJean ArthurRonald Colman'],101,38.0,,76,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035417/,The Talk of the Town,https://letterboxd.com/film/the-talk-of-the-town-1942,https://letterboxd.com/film/the-talk-of-the-town,True,,the-talk-of-the-town-1942,the-talk-of-the-town,the-talk-of-the-town-1942,the-talk-of-the-town-1942,the-talk-of-the-town,the-talk-of-the-town-1942
1942.0,,6.6,"['Action', 'Drama', 'War']",['Brian DonlevyMacdonald CareyRobert Preston'],32,21.0,,67,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035530/,Wake Island,https://letterboxd.com/film/wake-island-1942,https://letterboxd.com/film/wake-island,True,,wake-island-1942,wake-island,wake-island-1942,wake-island-1942,wake-island,wake-island-1942
1942.0,,7.6,"['Classic Musical', 'Biography', 'Drama', 'Family', 'Music', 'Musical']",['James CagneyJoan LeslieWalter Huston'],140,51.0,89.0,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035575/,Yankee Doodle Dandy,https://letterboxd.com/film/yankee-doodle-dandy-1942,https://letterboxd.com/film/yankee-doodle-dandy,True,,yankee-doodle-dandy-1942,yankee-doodle-dandy,yankee-doodle-dandy-1942,yankee-doodle-dandy-1942,yankee-doodle-dandy,yankee-doodle-dandy-1942
1942.0,,8.5,"['Psychological Drama', 'Drama', 'Romance', 'War']",['Humphrey BogartIngrid BergmanPaul Henreid'],1.6K,214.0,100.0,99+,,,,(102 min),https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0034583/,Casablanca,https://letterboxd.com/film/casablanca-1943,https://letterboxd.com/film/casablanca,True,,casablanca-1943,casablanca,casablanca-1943,casablanca-1942,casablanca,casablanca-1943
1943.0,,6.8,"['Adventure', 'Drama', 'History', 'Romance', 'War']",['Gary CooperIngrid BergmanAkim Tamiroff'],101,28.0,68.0,65,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0035896/,For Whom the Bell Tolls,https://letterboxd.com/film/for-whom-the-bell-tolls-1943,https://letterboxd.com/film/for-whom-the-bell-tolls,True,,for-whom-the-bell-tolls-1943,for-whom-the-bell-tolls,for-whom-the-bell-tolls-1943,for-whom-the-bell-tolls-1943,for-whom-the-bell-tolls,for-whom-the-bell-tolls-1943
1978.0,,6.9,"['Body Swap Comedy', 'Football', 'High-Concept Comedy', 'Supernatural Fantasy', 'Comedy', 'Fantasy', 'Romance', 'Sport']",['Warren BeattyJulie ChristieJames Mason'],143,52.0,72.0,66,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0077663/,Heaven Can Wait,https://letterboxd.com/film/heaven-can-wait-1978,https://letterboxd.com/film/heaven-can-wait-1978,True,,heaven-can-wait-1978,heaven-can-wait-1978,heaven-can-wait-1978,heaven-can-wait-1978,heaven-can-wait,heaven-can-wait-1978
